#bfs
#Overlap39077,Degree,PageRank,k-core
100,0.2368912659620748,0.19602323617473189,0.23167080379763044
90,0.24146514147281858,0.2047163292985644,0.21089302317646355
80,0.24591191749622537,0.21292576195716148,0.2061246598595935
70,0.25000469159181443,0.22039051104230112,0.20974656874035025
60,0.2542970715936911,0.2277819006917965,0.21404321382569455
50,0.2569977224454283,0.23446955156912422,0.21370883128182816
40,0.2598118245174058,0.2410812839607271,0.20907609761923046
30,0.2609429246530355,0.2477578456210388,0.20454487294316342
20,0.25287679879895253,0.24430142197882806,0.2004973087323319
10,0.19196031766341662,0.1843172880893279,0.16704881814537115
