#rand
#Overlap39077,Degree,PageRank,k-core
100,0.2368912659620748,0.19602323617473189,0.23167080379763044
90,0.23220393923109078,0.1959430526055395,0.23588044118023394
80,0.23179449121819315,0.1946277008641059,0.21320043333248032
70,0.22548984483626347,0.1914962765821327,0.22544292891811893
60,0.21676177802799607,0.18593034265680583,0.19136405899463454
50,0.20324999360237478,0.17696599022442872,0.1966024345096433
40,0.1852385461183475,0.16167907805955767,0.1641784169716201
30,0.15829174876952343,0.13549999573491656,0.14030759781968932
20,0.11218107838370397,0.09648301217254823,0.09360322781516833
10,0.05829857290307172,0.0483293668057084,0.057749230152434085
