#sec
#Overlap39077,Degree,PageRank,k-core
100,0.2368912659620748,0.19602323617473189,0.23167080379763044
90,0.24158797587668782,0.20475898013324118,0.21073948017162697
80,0.24575922750808235,0.21275430560176065,0.20622360979604376
70,0.2499168308723802,0.22048007779512246,0.20946848529825732
60,0.25434142846175495,0.22773413175695847,0.21438100843633512
50,0.2571452943334101,0.23446102140218883,0.21374807004973084
40,0.25984082708498607,0.24099171720790577,0.20913495577108446
30,0.2609668091204545,0.24761965691668583,0.20476068616662818
20,0.26024686303110955,0.2546638687719118,0.2035587856454351
10,0.23410616645767757,0.2395492659791352,0.1869531096723563
