
rand
Overlap3908,Degree,PageRank,k-core
100%,0.11156601842374624,0.07702149437052204,0.12333674513817804
90%,0.11218014329580347,0.0814056635960423,0.14072842033435684
80%,0.1126748549982941,0.08263391334015696,0.14228079153872397
70%,0.11415899010576595,0.08599454111224838,0.13345274650290004
60%,0.11363016035482773,0.087683384510406,0.12097407028317983
50%,0.11154042988741045,0.08843398157625385,0.10923746161719547
40%,0.1091180484476288,0.08902251791197544,0.11321221426134426
30%,0.10034118048447628,0.08588365745479361,0.08979017400204709
20%,0.08343568747867622,0.0735755714773115,0.06144660525417945
10%,0.049582053906516564,0.04316786079836232,0.03336745138178096

bfs
Overlap3908,Degree,PageRank,k-core
100%,0.11156601842374624,0.07702149437052204,0.12333674513817804
90%,0.12221937905151825,0.08915046059365403,0.12382292732855679
80%,0.1328727396792904,0.10025588536335721,0.12322586148072329
70%,0.1419993176390311,0.11102012964858411,0.12139201637666325
60%,0.14990617536676903,0.12449675878539747,0.11494370522006142
50%,0.15812862504264757,0.13779426816786078,0.10360798362333674
40%,0.16491811668372566,0.1506994199931764,0.09176902081200958
30%,0.1726032070965541,0.1637239849880587,0.09031047424087342
20%,0.18025417946093486,0.17437734561583076,0.0905151825315592
10%,0.18218184919822591,0.1771750255885363,0.10562094848174687

dfs
Overlap3908,Degree,PageRank,k-core
100%,0.11156601842374624,0.07702149437052204,0.12333674513817804
90%,0.1201381780962129,0.08619924940293415,0.1253411804844763
80%,0.12821562606618903,0.09304844762879562,0.126194131695667
70%,0.13515011941316957,0.10078471511429546,0.12498294097577621
60%,0.14223814397816445,0.1103207096554077,0.1199078812691914
50%,0.14843909928352098,0.12063288979870351,0.11395428181508017
40%,0.15468270214943705,0.12995564653701808,0.09337256908904809
30%,0.15933128625042647,0.14349198225861481,0.08538041624019106
20%,0.15897304674172635,0.15519447287615146,0.0927584442169908
10%,0.14250255885363355,0.1566700784715114,0.08045035823950869

sec
Overlap3908,Degree,PageRank,k-core
100%,0.11156601842374624,0.07702149437052204,0.12333674513817804
90%,0.12227055612418969,0.08903104742408734,0.12426646195837596
80%,0.13322244967587857,0.10030706243602867,0.12381439781644489
70%,0.14199078812691915,0.11093483452746503,0.1195581712726032
60%,0.15027294438758104,0.12434322756738313,0.11525929716820199
50%,0.1577362674854998,0.137410440122825,0.10326680313886047
40%,0.16496076424428524,0.15052882975093823,0.09063459570112589
30%,0.17244114636642788,0.16360457181849197,0.09046400545888776
20%,0.1785482770385534,0.17685090412828383,0.09047253497099966
10%,0.181345957011259,0.19032753326509722,0.09120607301262366

rand
Overlap19538,Degree,PageRank,k-core
100%,0.1943904186713071,0.15513358583273626,0.19265022008393903
90%,0.19352714368580884,0.15687719657419727,0.2066912341761354
80%,0.19157539154468217,0.15729347937352853,0.19992663868700308
70%,0.18929095437949978,0.1571348142082096,0.18635991401371693
60%,0.18480226567031766,0.15566417579417885,0.18640597809397072
50%,0.17604838434503703,0.15023543863240862,0.1531869519227488
40%,0.16194595147916882,0.14178353294434778,0.15865151670249428
30%,0.14154980038898557,0.12301327327942131,0.11784897805984922
20%,0.10589279011840175,0.09410379772750536,0.0941225645750162
