
rand
CitationAverage100,Degree,PageRank,k-core
100%,84.88000000000007,75.92000000000003,389.97999999999973
90%,85.536,73.46866666666666,359.47800000000007
80%,74.72733333333333,69.24300000000001,311.5736666666667
70%,68.17399999999999,70.08599999999998,311.15633333333335
60%,63.813333333333325,72.31966666666668,330.1743333333333
50%,76.94166666666666,71.29866666666666,348.195
40%,103.43733333333336,64.80800000000002,331.71766666666656
30%,105.934,59.13033333333332,320.5926666666667
20%,117.703,45.71566666666667,298.79266666666666
10%,103.35699999999999,31.961666666666666,236.95099999999996

bfs
CitationAverage100,Degree,PageRank,k-core
100%,84.88000000000007,75.92000000000003,389.97999999999973
90%,96.44633333333329,100.75,427.5313333333333
80%,101.55000000000003,106.193,359.82466666666664
70%,108.72533333333334,119.81733333333332,330.513
60%,133.38933333333335,130.36499999999998,302.57666666666665
50%,115.63833333333334,113.26566666666665,142.9123333333333
40%,116.03766666666667,111.97366666666666,54.7723333333333
30%,108.91300000000003,105.70733333333334,41.67433333333335
20%,102.933,101.36266666666668,38.633
10%,92.72866666666664,92.08466666666668,46.31166666666666

dfs
CitationAverage100,Degree,PageRank,k-core
100%,84.88000000000007,75.92000000000003,389.97999999999973
90%,92.19666666666669,90.25866666666666,354.55766666666676
80%,94.6693333333333,107.49633333333331,344.2536666666666
70%,90.28233333333334,110.34533333333334,312.19466666666665
60%,95.06900000000002,112.68533333333333,287.7923333333334
50%,103.31299999999997,110.87500000000004,293.237
40%,113.57766666666663,112.02900000000001,255.35966666666673
30%,116.7953333333333,112.22033333333336,15.49533333333333
20%,105.73599999999998,103.661,15.34266666666667
10%,95.21266666666666,94.75233333333333,13.351333333333335

sec
CitationAverage100,Degree,PageRank,k-core
100%,84.88000000000007,75.92000000000003,389.97999999999973
90%,96.34866666666662,100.32233333333336,416.06133333333315
80%,101.68100000000004,106.78233333333334,361.9306666666667
70%,108.52800000000003,118.92299999999999,332.7439999999999
60%,137.15033333333332,134.70533333333336,305.9933333333333
50%,115.26466666666668,112.50666666666666,124.056
40%,116.75966666666666,112.17399999999999,47.597666666666626
30%,108.69233333333334,105.321,30.946333333333328
20%,102.257,100.55000000000001,39.182
10%,91.47533333333334,91.67366666666666,16.799


rand
CitationAverage500,Degree,PageRank,k-core
100%,119.02,48.882,318.6620000000001
90%,126.36933333333333,47.31179999999999,321.35200000000003
80%,122.50146666666667,44.86280000000001,320.4717333333335
70%,121.45940000000002,43.673266666666656,315.0567333333333
60%,130.53679999999997,41.254400000000004,315.7212666666666
50%,145.27239999999998,38.62113333333333,295.92760000000004
40%,139.55746666666667,36.93173333333333,264.0765999999999
30%,134.80193333333332,35.6898,227.36520000000004
20%,107.33133333333333,31.313866666666662,158.37199999999999
10%,56.5014,22.249133333333337,67.66013333333333

bfs
CitationAverage500,Degree,PageRank,k-core
100%,119.02,48.882,318.6620000000001
90%,116.6698,51.85033333333331,309.8626666666667
80%,115.06953333333333,53.87466666666666,323.3091333333333
70%,103.69226666666668,55.7488,348.8074666666667
60%,58.57533333333332,55.18133333333334,175.61960000000005
50%,52.958333333333336,48.49466666666665,78.366
40%,48.375,45.812733333333334,36.1848
30%,43.34486666666667,40.93046666666667,31.746133333333326
20%,38.37446666666666,37.14040000000001,22.929066666666664
10%,31.9842,30.966399999999997,26.111466666666665

dfs
CitationAverage500,Degree,PageRank,k-core
100%,119.02,48.882,318.6620000000001
90%,121.15660000000001,50.749066666666664,312.94646666666665
80%,122.55233333333335,51.96426666666665,321.57233333333335
70%,117.24133333333334,51.75653333333334,316.4798666666667
60%,105.85966666666666,51.01466666666668,291.88833333333326
50%,76.98466666666667,50.6864,219.7166
40%,53.320333333333345,49.33766666666667,95.22946666666665
30%,44.973600000000005,43.30713333333333,12.068533333333335
20%,37.55873333333333,37.42893333333333,9.855266666666667
10%,31.96013333333333,31.823800000000006,12.20846666666667

sec
CitationAverage500,Degree,PageRank,k-core
100%,119.02,48.882,318.6620000000001
90%,116.78880000000001,51.69640000000001,311.4390000000001
80%,115.93586666666664,53.98673333333334,317.16700000000003
70%,104.87466666666666,55.691066666666664,341.6916666666667
60%,59.49966666666667,56.071000000000005,188.94206666666662
50%,52.508733333333346,48.156400000000005,65.33973333333333
40%,48.195066666666655,45.515933333333344,36.38786666666668
30%,41.900999999999996,40.035000000000004,27.66326666666666
20%,37.4792,36.21640000000001,23.93066666666666
10%,30.03493333333333,29.647466666666663,16.017333333333337


rand
CitationAverage1000,Degree,PageRank,k-core
100%,145.17099999999994,39.29099999999997,293.70899999999995
90%,145.31833333333333,39.02576666666666,282.5113666666667
80%,145.09966666666665,38.55876666666667,267.53006666666676
70%,143.3089,40.0974,250.2602
60%,140.67226666666667,39.24446666666666,231.95806666666667
50%,137.39000000000001,37.89376666666667,206.86403333333334
40%,117.59276666666668,34.806033333333325,171.23153333333337
30%,99.93720000000002,31.9208,132.77643333333333
20%,71.5965,25.470500000000005,88.17836666666669
10%,35.34216666666667,17.17226666666667,42.116766666666656

bfs
CitationAverage1000,Degree,PageRank,k-core
100%,145.17099999999994,39.29099999999997,293.70899999999995
90%,111.19266666666667,40.1047,293.6537666666667
80%,100.02843333333333,41.0377,304.76283333333333
70%,85.48589999999999,42.31306666666667,315.97099999999995
60%,43.55796666666668,40.0113,112.5963
50%,37.875,35.347500000000004,53.37496666666666
40%,34.0076,32.42330000000001,27.083466666666663
30%,31.175600000000006,29.516266666666663,21.97706666666667
20%,25.748800000000003,24.959433333333337,16.3006
10%,21.763599999999997,20.6273,18.024366666666662

dfs
CitationAverage1000,Degree,PageRank,k-core
100%,145.17099999999994,39.29099999999997,293.70899999999995
90%,124.2511,39.51829999999998,283.79443333333336
80%,110.15739999999998,40.27290000000001,269.4641000000001
70%,95.7134,39.938599999999994,244.3692
60%,81.63200000000002,39.87223333333334,197.7199666666666
50%,62.68386666666666,38.57206666666666,133.72549999999998
40%,38.82696666666667,36.55363333333334,57.981100000000005
30%,31.3002,30.810333333333336,9.006433333333332
20%,25.715233333333334,24.99856666666666,7.803299999999999
10%,20.217666666666666,20.724966666666667,8.3634

sec
CitationAverage1000,Degree,PageRank,k-core
100%,145.17099999999994,39.29099999999997,293.70899999999995
90%,112.20863333333332,40.17966666666666,295.388
80%,98.68710000000002,40.978233333333336,300.7046
70%,85.8449,42.34453333333333,315.96039999999994
60%,44.122033333333334,40.40189999999999,130.0050333333333
50%,37.68606666666667,35.168933333333335,44.203566666666674
40%,33.60139999999999,32.15046666666667,25.49049999999999
30%,30.135133333333336,28.6214,19.108466666666665
20%,25.259333333333334,24.58743333333333,17.082033333333335
10%,19.779366666666665,19.478900000000003,12.967433333333336


rand
CitationAverage2000,Degree,PageRank,k-core
100%,137.13549999999995,39.9085,209.33150000000015
90%,131.66198333333335,39.46091666666666,192.31103333333334
80%,124.03156666666669,37.64505,175.37908333333334
70%,114.09920000000004,35.87143333333333,156.31741666666667
60%,104.57729999999998,33.85483333333334,137.37808333333334
50%,94.24051666666666,32.13046666666666,117.56096666666667
40%,77.9387,29.27683333333334,93.26789999999998
30%,63.60378333333334,26.883333333333336,70.60693333333332
20%,43.16791666666667,20.39508333333334,45.55401666666667
10%,20.907649999999997,12.230099999999998,21.54661666666666

bfs
CitationAverage2000,Degree,PageRank,k-core
100%,137.13549999999995,39.9085,209.33150000000015
90%,115.669,40.76663333333333,207.22579999999996
80%,88.99263333333334,41.08706666666668,209.0342333333333
70%,68.87456666666667,37.40621666666665,196.48998333333336
60%,32.67616666666666,28.264766666666667,76.08986666666668
50%,27.028283333333334,24.854166666666668,33.83128333333334
40%,22.97291666666667,22.1712,17.11845
30%,21.090466666666664,20.277216666666668,14.27463333333333
20%,18.338533333333338,17.291183333333333,11.706783333333332
10%,15.606833333333332,14.136066666666668,12.158316666666666

dfs
CitationAverage2000,Degree,PageRank,k-core
100%,137.13549999999995,39.9085,209.33150000000015
90%,122.07711666666668,40.23649999999999,192.80714999999998
80%,102.02411666666666,40.71233333333334,170.84453333333335
70%,81.53585000000001,39.5809,143.63170000000002
60%,62.24109999999999,37.7007,113.04258333333333
50%,45.434099999999994,32.0783,74.89013333333332
40%,29.69668333333333,26.043033333333334,37.298766666666666
30%,20.84921666666667,20.609366666666673,6.5490499999999985
20%,17.572433333333336,17.271116666666664,6.584133333333335
10%,13.467366666666665,13.670866666666667,5.739833333333334

sec
CitationAverage2000,Degree,PageRank,k-core
100%,137.13549999999995,39.9085,209.33150000000015
90%,116.17083333333333,40.86108333333333,207.94931666666668
80%,84.9948,40.90571666666666,207.3549666666667
70%,69.02028333333332,37.6765,196.4400166666667
60%,33.43116666666666,28.68755,89.69131666666667
50%,26.79091666666666,24.634866666666667,29.027399999999997
40%,22.608033333333328,21.87258333333333,16.437949999999997
30%,20.255983333333333,19.508049999999994,12.427200000000001
20%,17.828983333333333,17.042616666666667,11.636
10%,13.14835,13.124666666666664,9.488866666666667

