
rand
Overlap100,Degree,PageRank,k-core
100%,0.020000000000000007,0.020000000000000007,0.0
90%,0.018333333333333337,0.018333333333333337,0.0
80%,0.01533333333333334,0.01533333333333334,0.0
70%,0.01266666666666667,0.01366666666666667,0.029333333333333336
60%,0.016333333333333335,0.012000000000000004,0.05266666666666667
50%,0.045666666666666675,0.013000000000000005,0.064
40%,0.10499999999999998,0.01533333333333334,0.13766666666666663
30%,0.10966666666666666,0.011,0.152
20%,0.12033333333333333,0.008666666666666666,0.143
10%,0.07800000000000001,0.01166666666666667,0.09

bfs
Overlap100,Degree,PageRank,k-core
100%,0.020000000000000007,0.020000000000000007,0.0
90%,0.020000000000000007,0.020000000000000007,0.6016666666666667
80%,0.020000000000000007,0.020000000000000007,0.63
70%,0.020000000000000007,0.020000000000000007,0.5920000000000001
60%,0.020000000000000007,0.020000000000000007,0.31399999999999995
50%,0.020000000000000007,0.020000000000000007,0.12366666666666665
40%,0.020000000000000007,0.020000000000000007,0.03833333333333334
30%,0.020000000000000007,0.020000000000000007,0.01966666666666667
20%,0.020000000000000007,0.020000000000000007,0.019333333333333334
10%,0.017333333333333343,0.017666666666666674,0.028333333333333335

dfs
Overlap100,Degree,PageRank,k-core
100%,0.020000000000000007,0.020000000000000007,0.0
90%,0.020000000000000007,0.020000000000000007,0.207
80%,0.020000000000000007,0.02133333333333334,0.6023333333333334
70%,0.020000000000000007,0.026666666666666682,0.5613333333333335
60%,0.020000000000000007,0.02766666666666668,0.5236666666666665
50%,0.020000000000000007,0.02233333333333334,0.507
40%,0.020000000000000007,0.020000000000000007,0.3513333333333332
30%,0.020000000000000007,0.020000000000000007,0.0
20%,0.020000000000000007,0.020000000000000007,0.0
10%,0.020000000000000007,0.020000000000000007,0.0

sec
Overlap100,Degree,PageRank,k-core
100%,0.020000000000000007,0.020000000000000007,0.0
90%,0.020000000000000007,0.020000000000000007,0.5766666666666667
80%,0.020000000000000007,0.020000000000000007,0.6313333333333333
70%,0.020000000000000007,0.020000000000000007,0.5936666666666663
60%,0.020000000000000007,0.020000000000000007,0.3143333333333333
50%,0.020000000000000007,0.020000000000000007,0.1063333333333333
40%,0.020000000000000007,0.020000000000000007,0.02966666666666667
30%,0.020000000000000007,0.020000000000000007,0.010333333333333333
20%,0.020000000000000007,0.020000000000000007,0.028
10%,0.016333333333333342,0.016666666666666673,0.0006666666666666666


rand
Overlap500,Degree,PageRank,k-core
100%,0.19000000000000009,0.06200000000000004,0.5139999999999998
90%,0.20746666666666674,0.05640000000000003,0.5087333333333333
80%,0.20540000000000005,0.051800000000000034,0.4894666666666667
70%,0.20586666666666673,0.049333333333333354,0.47233333333333327
60%,0.22233333333333336,0.04440000000000002,0.4596666666666667
50%,0.2429333333333333,0.039266666666666686,0.41446666666666676
40%,0.22733333333333341,0.037666666666666675,0.35019999999999996
30%,0.20653333333333335,0.036400000000000016,0.27926666666666666
20%,0.1507333333333334,0.032866666666666676,0.1823333333333334
10%,0.07406666666666668,0.024933333333333346,0.08380000000000003

bfs
Overlap500,Degree,PageRank,k-core
100%,0.19000000000000009,0.06200000000000004,0.5139999999999998
90%,0.18900000000000003,0.06486666666666671,0.5652
80%,0.1874666666666667,0.06740000000000004,0.6045333333333333
70%,0.15673333333333336,0.06746666666666672,0.6392
60%,0.05980000000000004,0.06040000000000004,0.22640000000000002
50%,0.04800000000000002,0.04826666666666669,0.0688
40%,0.044600000000000015,0.043600000000000014,0.026800000000000008
30%,0.04066666666666668,0.03846666666666668,0.02226666666666667
20%,0.03220000000000001,0.03220000000000001,0.01206666666666667
10%,0.023533333333333344,0.023466666666666677,0.020200000000000003

dfs
Overlap500,Degree,PageRank,k-core
100%,0.19000000000000009,0.06200000000000004,0.5139999999999998
90%,0.19713333333333335,0.0626666666666667,0.5432666666666666
80%,0.20253333333333334,0.06313333333333337,0.5744666666666666
70%,0.19086666666666668,0.06340000000000004,0.5643333333333334
60%,0.164,0.0604666666666667,0.5197333333333333
50%,0.10100000000000002,0.0582666666666667,0.3790666666666667
40%,0.053800000000000035,0.054000000000000034,0.14060000000000003
30%,0.04266666666666668,0.04160000000000001,0.008466666666666671
20%,0.030533333333333353,0.030133333333333352,0.003866666666666669
10%,0.02386666666666668,0.023933333333333345,0.004866666666666669

sec
Overlap500,Degree,PageRank,k-core
100%,0.19000000000000009,0.06200000000000004,0.5139999999999998
90%,0.19006666666666666,0.06453333333333337,0.5639333333333333
80%,0.1894,0.06753333333333338,0.6029333333333333
70%,0.15973333333333337,0.06740000000000004,0.636
